timestamp,action,reward,done,background,block_loss,blockiness,blur,contrast,cpu_usage,current_bitrate,enc_quality,exposure,latency,max_bitrate,noise,packet_loss,ram_usage,spatial_activity,temporal_activity,throughput
2024-07-18 07:43:59,0,11.96,False,15000,8.32,0.93,2.96,31.48,85.2,24.7,10,110.05,999.29,0.0,0.49,100.0,0.16,35.41,40.28,2.07
2024-07-18 07:44:21,0,15.36,False,15000,6.82,0.95,3.16,26.52,90.6,26.65,12,106.55,1046.67,25.0,0.48,100.0,0.17,21.65,36.55,1.02
2024-07-18 07:44:32,2,-1.540000000000001,False,1000,9.57,0.76,3.31,46.03,127.3,6.76,21,156.7,0.3,7.0,0.46,10.0,0.18,31.16,72.73,13.6
2024-07-18 07:44:46,1,-8.02,False,1000,12.51,0.7,4.04,50.07,100,16.61,11,133.35,211.96,15.0,0.44,100.0,0.18,40.23,67.17,27.0
2024-07-18 07:45:05,0,-8.84,False,5000,13.42,0.8,2.73,54.17,90.6,29.97,7,127.03,0.21,25.0,0.48,0.0,0.18,52.66,73.16,0.77
2024-07-18 07:45:22,0,-12.68,False,15000,14.74,0.68,3.04,41.13,82.4,22.92,11,141.07,988.05,25.0,0.44,100.0,0.18,40.95,58.62,2.07
2024-07-18 07:45:47,0,35.98,False,15000,0.21,0.82,3.87,39.98,96.2,24.08,9,105.23,1008.18,25.0,0.19,100.0,0.19,25.33,53.69,0.69
2024-07-18 07:46:03,1,32.76,False,1000,0.22,0.91,7.48,38.16,72,14.1,22,93.72,186.55,15.0,0.43,100.0,0.19,17.75,57.31,15.72
2024-07-18 07:46:23,0,37.32,False,1000,0.34,0.9,5.95,33.29,82.4,26.05,17,87.45,1018.59,25.0,0.44,100.0,0.19,23.31,50.45,1.08
2024-07-18 07:46:41,0,34.68,False,1000,2.26,0.96,3.31,17.41,88,20.97,25,100.45,993.83,25.0,0.48,100.0,0.19,23.89,24.74,2.06
2024-07-18 07:46:58,0,19.66,False,5000,5.17,1.0,2.81,20.96,90,25.46,14,105.5,1011.37,25.0,0.53,100.0,0.19,16.74,31.9,2.07
2024-07-18 07:47:22,0,38.56,False,5000,0.22,0.95,3.62,46.38,88,21.31,16,114.12,987.6,25.0,0.66,100.0,0.19,27.69,77.55,0.75
2024-07-18 07:47:39,0,29.819999999999997,False,1000,4.49,0.94,2.52,44.53,79.6,25.15,12,109.53,1004.52,25.0,0.76,100.0,0.19,35.3,67.22,2.06
2024-07-18 07:47:54,1,26.240000000000002,False,15000,3.28,0.89,2.2,34.94,78.2,15.82,19,113.4,326.31,15.0,0.7,100.0,0.19,33.92,47.48,2.78
2024-07-18 07:48:18,0,32.239999999999995,False,1000,3.28,0.94,2.47,44.45,88.9,23.7,18,125.85,1032.67,25.0,0.92,100.0,0.19,40.03,66.65,0.77
2024-07-18 07:48:40,0,34.06,False,15000,2.27,0.93,5.09,40.62,76.9,24.81,12,133.12,1005.75,25.0,0.75,100.0,0.19,23.51,55.73,1.03
2024-07-18 07:49:00,0,34.72,False,1000,2.64,1.0,2.11,45.54,114,23.4,18,136.3,997.58,25.0,0.51,100.0,0.19,29.07,56.32,1.06
2024-07-18 07:49:16,1,34.2,False,1000,0.4,1.0,1.67,45.66,96.2,15.7,16,77.78,367.97,15.0,0.14,100.0,0.19,24.94,77.52,2.75
2024-07-18 07:49:36,0,36.4,False,1000,0.4,0.86,2.55,45.14,92.6,24.97,12,125.0,1027.41,25.0,0.47,100.0,0.19,75.28,62.53,1.19
2024-07-18 07:49:51,1,32.68,False,1000,0.76,0.96,5.33,56.21,85.2,15.55,26,124.62,504.39,15.0,0.48,100.0,0.19,35.07,79.46,2.6
2024-07-18 07:50:18,0,33.980000000000004,False,5000,3.01,1.0,3.24,50.24,107.5,26.01,14,127.47,996.11,25.0,0.74,100.0,0.19,49.42,70.73,0.63
2024-07-18 07:50:39,0,32.66,False,5000,3.17,0.95,2.97,45.36,94,30.88,9,126.13,0.51,0.0,0.68,7.5,0.19,64.46,62.32,2.05
2024-07-18 07:50:49,2,25.04,False,5000,2.08,0.96,2.65,47.02,66.7,7.61,20,126.83,0.43,7.0,0.64,15.0,0.19,80.14,64.35,31.63
2024-07-18 07:51:00,2,26.92,False,5000,1.54,1.0,2.23,46.5,82.4,6.63,25,129.13,0.29,7.0,1.15,7.5,0.19,81.0,61.91,29.19
2024-07-18 07:51:10,2,28.419999999999998,False,1000,0.49,0.97,2.47,49.74,60,7.21,17,126.97,0.98,7.0,0.62,5.0,0.2,93.86,71.09,31.28
2024-07-18 07:51:24,0,29.92,False,15000,4.24,0.92,2.83,46.07,83,24.02,25,130.93,1046.67,25.0,0.59,100.0,0.2,53.05,63.99,17.8
2024-07-18 07:51:35,2,16.120000000000005,False,5000,6.14,0.92,2.56,51.28,85.2,6.37,9,129.3,0.21,7.0,0.71,12.5,0.2,64.43,70.28,15.29
2024-07-18 07:51:49,0,27.58,False,1000,4.41,0.82,2.55,42.4,77.4,27.29,11,100.57,1036.77,25.0,0.59,100.0,0.2,33.16,66.29,19.97
2024-07-18 07:52:06,0,36.86,False,5000,1.57,1.0,3.63,45.62,70.6,25.41,13,134.57,929.63,25.0,0.56,100.0,0.2,32.78,75.4,2.05
2024-07-18 07:52:16,2,27.78,False,1000,1.01,0.99,2.57,43.9,74,7.0,18,130.02,0.32,7.0,0.59,12.5,0.2,46.5,62.28,19.92
2024-07-18 07:52:34,0,35.14,False,5000,2.13,0.97,3.02,51.83,79.6,22.57,9,130.52,1005.28,25.0,0.79,100.0,0.2,46.39,67.45,8.27
2024-07-18 07:52:44,2,-50,False,1000,49.48,0.59,3.71,42.49,69.1,6.52,26,132.0,0.24,7.0,0.62,5.0,0.2,42.32,57.26,11.13
2024-07-18 07:52:59,0,0.6799999999999997,False,5000,13.36,0.87,3.57,43.74,82.7,25.81,16,126.75,990.2,25.0,0.68,100.0,0.2,65.95,63.53,21.93
2024-07-18 07:53:16,0,35.06,False,1000,1.77,0.93,3.92,48.99,79.6,25.09,12,132.03,1010.28,25.0,0.43,100.0,0.2,48.22,66.54,2.09
